,id,name,country,country_code,abbreviation,week,Year
586,sr:competitor:44977,"Santamaria, Sabrina",USA,USA,SAN,32,2026
587,sr:competitor:52533,"Jakupovic, Dalila",Slovenia,SVN,JAK,32,2026
588,sr:competitor:360038,"Stearns, Peyton",USA,USA,STE,32,2026
589,sr:competitor:49682,"Kichenok, Nadiia",Ukraine,UKR,KIC,32,2026
590,sr:competitor:329535,"Tauson, Clara",Denmark,DNK,TAU,32,2026
591,sr:competitor:123824,"Dolehide, Caroline",USA,USA,DOL,32,2026
592,sr:competitor:534045,"Gibson, Talia",Australia,AUS,GIB,32,2026
593,sr:competitor:93657,"Karamoko, Naima",Switzerland,CHE,KAR,32,2026
594,sr:competitor:156040,"Cho, I-Hsuan",Chinese Taipei,TPE,CHO,32,2026
595,sr:competitor:210670,"Cho, Yi Tsen",Chinese Taipei,TPE,CHO,32,2026
596,sr:competitor:48451,"Cavalle-Reimers, Yvonne",Spain,ESP,CAV,32,2026
597,sr:competitor:72758,"Cristian, Jaqueline",Romania,ROU,CRI,32,2026
598,sr:competitor:71754,"Martins, Ingrid",Brazil,BRA,MAR,32,2026
599,sr:competitor:51943,"Strakhova, Valeriya",Ukraine,UKR,STR,32,2026
600,sr:competitor:448121,"Rogers, Anna",USA,USA,ROG,32,2026
601,sr:competitor:48486,"Gorgodze, Ekaterine",Georgia,GEO,GOR,32,2026
602,sr:competitor:67430,"Cascino, Estelle",France,FRA,CAS,32,2026
603,sr:competitor:143146,"Smith, Alana",USA,USA,SMI,32,2026
604,sr:competitor:189384,"Kulambayeva, Zhibek",Kazakhstan,KAZ,KUL,32,2026
605,sr:competitor:18251,"Williams, Venus",USA,USA,WIL,32,2026
606,sr:competitor:183957,"Kobori, Momoko",Japan,JPN,KOB,32,2026
607,sr:competitor:245673,"Feng, Shuo",China,CHN,FEN,32,2026
608,sr:competitor:129534,"Hruncakova, Viktoria",Slovakia,SVK,HRU,32,2026
609,sr:competitor:50915,"Plipuech, Peangtarn",Thailand,THA,PLI,32,2026
610,sr:competitor:628178,"Brooks, Madeleine",Great Britain,GBR,BRO,32,2026
611,sr:competitor:215806,"Hewitt, Dalayna",USA,USA,HEW,32,2026
612,sr:competitor:226306,"Corley, Ivana",USA,USA,COR,32,2026
613,sr:competitor:813176,"Mboko, Victoria",Canada,CAN,MBO,32,2026
614,sr:competitor:250285,"Falkowska, Weronika",Poland,POL,FAL,32,2026
615,sr:competitor:662257,"Havlickova, Lucie",Czechia,CZE,HAV,32,2026
616,sr:competitor:369524,"Erjavec, Veronika",Slovenia,SVN,ERJ,32,2026
617,sr:competitor:722877,"Ciric-Bagaric, Lucija",Croatia,HRV,CIR,32,2026
618,sr:competitor:345134,"Lee, Ya-Hsin",Chinese Taipei,TPE,LEE,32,2026
619,sr:competitor:49118,"Harrison, Catherine",USA,USA,HAR,32,2026
620,sr:competitor:119216,"Herrero Linana, Alicia",Spain,ESP,HER,32,2026
621,sr:competitor:105099,"Birrell, Kimberly",Australia,AUS,BIR,32,2026
622,sr:competitor:662615,"Salkova, Dominika",Czechia,CZE,SAL,32,2026
623,sr:competitor:60392,"Sorribes Tormo, Sara",Spain,ESP,SOR,32,2026
624,sr:competitor:70728,"Bhosale, Rutuja",India,IND,BHO,32,2026
625,sr:competitor:71034,"Sramkova, Rebecca",Slovakia,SVK,SRA,32,2026
626,sr:competitor:19728,"Cirstea, Sorana",Romania,ROU,CIR,32,2026
627,sr:competitor:233266,"Ovcharenko, Ekaterina",Neutral,,OVC,32,2026
628,sr:competitor:378340,"Corley, Carmen",USA,USA,COR,32,2026
629,sr:competitor:325837,"Sakellaridi, Sapfo",Greece,GRC,SAK,32,2026
630,sr:competitor:627278,"Eala, Alexandra",Philippines,PHL,EAL,32,2026
631,sr:competitor:453301,"Jorge, Matilde",Portugal,PRT,JOR,32,2026
632,sr:competitor:245295,"Waltert, Simona",Switzerland,CHE,WAL,32,2026
633,sr:competitor:870981,"Li, Yu-Yun",Chinese Taipei,TPE,YU-,32,2026
634,sr:competitor:195408,"Shimizu, Ayano",Japan,JPN,SHI,32,2026
635,sr:competitor:98523,"Ye, Qiu Yu",China,CHN,QIU,32,2026
636,sr:competitor:473609,"Kubka, Martyna",Poland,POL,KUB,32,2026
637,sr:competitor:805538,"Cross, Kayla",Canada,CAN,CRO,32,2026
638,sr:competitor:506786,"Zamarripa, Allura",USA,USA,ZAM,32,2026
639,sr:competitor:161270,"Salden, Lara",Belgium,BEL,SAL,32,2026
640,sr:competitor:42289,"Linette, Magda",Poland,POL,LIN,32,2026
641,sr:competitor:102637,"McAdoo, Rasheeda",USA,USA,MCA,32,2026
642,sr:competitor:52695,"Moratelli, Angelica",Italy,ITA,MOR,32,2026
643,sr:competitor:80427,"Osborne, Alexandra",Australia,AUS,OSB,32,2026
644,sr:competitor:517274,"Rajecki, Amelia",Great Britain,GBR,RAJ,32,2026
645,sr:competitor:1022815,"Akli, Ayana",USA,USA,AKL,32,2026
646,sr:competitor:211262,"Danilovic, Olga",Serbia,SRB,DAN,32,2026
647,sr:competitor:882091,"Valdmannova, Vendula",Czechia,CZE,VAL,32,2026
648,sr:competitor:278943,"Lansere, Sofya",Neutral,,LAN,32,2026
649,sr:competitor:88494,"Christie, Freya",Great Britain,GBR,CHR,32,2026
